iso2c,country,year,SP.POP.TOTL,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,iso3c,region,capital,longitude,latitude,income,lending
1W,World,2009,6839574284,4.66284854520925,9267.69117773878,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1997,5872254361,4.08276036324783,7694.30224894546,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1998,5954005524,4.05007887594294,7782.6377955145,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2012,7085763408,5.00593781609368,9865.63452315589,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2013,7169640142,4.99852018932752,10009.8597387581,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2014,7254228377,4.9816855938226,10174.8424638991,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2015,7338964960,NA,10346.9292932401,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2010,6921871614,4.83574065897143,9551.33565289547,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2011,7002860604,4.97618087386964,9737.34274698701,WLD,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1997,1759750579,2.42017251041493,1619.73528013258,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1998,1779788443,2.25462767460366,1629.41805775226,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1995,1717901684,2.33960686551008,1423.11638587714,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1996,1738949813,2.42110555154654,1531.50794712584,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2001,1833423014,2.36303673983747,1925.22828025919,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2002,1849607538,2.5550039587417,2058.26574161584,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1999,1798639541,2.24667240057546,1710.78855709919,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2000,1816455805,2.3059611442535,1821.05662339351,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2005,1895275474,3.65598702085704,2609.23795451639,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2006,1909891462,3.96186693510039,2867.78314441505,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2007,1924018226,4.03953386359191,3192.53818847887,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2008,1938057249,4.49290940308965,3436.66474123462,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2009,1952017409,4.48181250032854,3674.96711186534,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2010,1965954304,5.08874223655117,4005.48896330204,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2011,1980035609,5.57974663790898,4313.71272115616,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2012,1994391099,5.7087426266444,4604.47482719416,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2013,2008921191,5.74677718484248,4900.36814113825,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2014,2023597462,5.71026297719363,5199.31918268434,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2015,2038190036,5.68275329097562,5503.86135458837,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2003,1865132706,2.93271471111738,2219.17136783458,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2004,1880248895,3.31507895048321,2397.48701023636,EAP,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1997,368734967,6.99664133371856,4521.59377889084,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1998,369018877,6.91604401122097,4443.15416338776,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1999,369023434,6.9724730686884,4543.67072915104,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2000,369143668,7.0702639145628,4920.6733324349,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2001,369183312,7.05424455303092,5042.17667547108,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2002,369278345,7.09518521661286,5315.83519983938,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2003,369597930,7.40317423260153,5677.89378300957,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2004,370083723,7.49286802726729,6139.49276652887,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2005,370632537,7.53481742147363,6581.12265598494,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2006,371318140,7.80031572169875,7105.63408976279,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2007,372332605,7.89915174515639,7632.33145183612,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1995,367887319,7.65617057397189,4409.97519187329,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1996,368313051,7.47079725423164,4398.46097227108,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2009,375674687,7.28132542770975,7409.31665673687,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2010,377835769,7.76735471278263,7780.76665443152,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2011,380165082,8.09897864054753,8218.40932289336,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2012,382509766,8.15519019454264,8491.4486076798,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2013,385088778,7.86517765781271,8775.2553450872,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2014,387660810,7.71146751202424,8908.46804507248,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2015,390295673,7.48406073412964,8922.93319175047,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2008,373751805,8.01313385229002,7918.21325055498,ECA,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1995,1261587756,0.734994151290733,669.794855321234,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1996,1287476190,0.784299647514258,701.582893451696,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1998,1339202708,0.798425204498616,739.655706424431,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1999,1365067928,0.831695999673358,782.43580310545,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2000,1390946064,0.84896055394424,799.075199471058,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1997,1313346377,0.797988978653116,713.996512687125,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2002,1442644058,0.844090879692238,834.447716873904,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2003,1468324422,0.864696334799504,880.337170033025,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2004,1493757846,0.897377389239836,930.93998775879,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2005,1518861552,0.932415509586881,985.155072808326,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2006,1543610696,0.978680264340433,1044.16126626214,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2007,1568003159,1.03919249757073,1103.28858485816,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2008,1592010819,1.12949972923519,1121.83321385746,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2009,1615610198,1.22399992241198,1184.31022611746,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2010,1638792934,1.20673416999246,1257.49943946437,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2011,1661534412,1.26752863244339,1304.00875135793,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2012,1683747130,1.35780829393307,1357.60557464947,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2013,1705772050,1.35299425852358,1421.65402480702,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2001,1416822959,0.845153710556154,819.755346223138,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2015,1749417068,1.51200962502556,1594.05862722424,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2014,1727640967,1.46192368741161,1501.81061405964,SAS,Aggregates,,,,Aggregates,Aggregates
AD,Andorra,1995,63850,6.66205168363352,32577.0673618283,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1996,64360,7.06507147296457,33821.6667720915,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1997,64327,7.23971271783233,36907.4285929324,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1999,64370,7.97545440422557,39621.2565388614,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2000,65390,8.01928429423459,40379.390206452,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2001,67341,7.78695000074249,42393.0818204197,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1998,64142,7.66078388575348,38196.3937249671,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2003,73182,7.31576070618458,44328.7604494183,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2004,76244,7.35862494097896,46010.1013427567,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2005,78867,7.29987193629782,46880.8061047792,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2002,70049,7.59061514082999,42607.056937381,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2008,83862,6.42780997352794,44317.5502434378,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2009,84463,6.12157986337213,41668.8373600629,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2010,84449,6.12259470212791,40852.6667774434,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2011,83747,5.8674101758869,41191.7854116591,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2012,82427,5.91688403071809,39769.5614582283,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2013,80774,5.90177532374279,39143.6896810315,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2014,79213,5.83290621488897,40914.7285238633,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2015,78011,5.96978631218674,42140.9617984695,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2006,80993,6.74605212796168,47845.400420286,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2007,82684,6.51938706400271,47594.8281439041,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AE,United Arab Emirates,1995,2415090,29.2498780583746,62681.6090675803,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1998,2813214,28.9687908562946,61773.8673566819,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1999,2966034,26.4241040392659,60291.5089875618,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1996,2539126,28.9200595007889,63076.6064636338,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1997,2671362,27.5886854720551,64864.720318444,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2002,3478777,24.3350930513798,59187.2069291282,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2003,3711932,28.7675097496398,60351.1400473436,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2004,4068570,27.8168056589908,60328.3205264375,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2005,4588225,25.2977024884351,56092.9202185986,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2006,5300174,23.3441858701243,53335.0315740292,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2007,6168838,21.9740447066368,47283.9032785234,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2008,7089487,22.1691104024875,42456.7958854415,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2009,7917372,21.2538911901575,36024.0582294666,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2010,8549988,18.5524727052248,33893.303514039,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2011,8946777,19.1830645829219,34634.8621429885,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2012,9141596,24.0431371064746,35416.8917844949,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2000,3134062,35.9157642701389,63251.5229870394,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2001,3302719,30.7030513343703,60861.2659986951,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2015,9262900,21.0263924904727,40247.7471408685,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2013,9197910,23.9960015916659,36978.8330410358,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2014,9214175,24.5430426489621,38495.0463523453,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AF,Afghanistan,1995,18110657,0.0686398621540897,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1996,18853437,0.0624346107290676,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1999,20170844,0.0407225399194997,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2000,20779953,0.0372347810411313,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1997,19357126,0.0566423445298646,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1998,19737765,0.0527632181252538,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2003,23680871,0.0512555893742253,343.080889714587,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2004,24726684,0.0370753312494308,333.216684486798,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2001,21606988,0.0378461357038751,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2002,22600770,0.0473773238699389,330.303552908057,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2007,27100536,0.0838928056625891,405.548979051796,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2008,27722276,0.151720912092499,412.014286663305,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2009,28394813,0.238398541311049,488.300250990155,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2010,29185507,0.289987629819143,543.303041863931,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2011,30117413,0.406424217113203,528.736648057768,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2012,31161376,0.345148782903553,576.190125450699,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2013,32269589,0.280454641055391,587.565090150176,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2014,33370794,0.253727945460333,583.656192833121,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2015,34413603,0.262555710891417,574.184114271258,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2006,26433049,0.0624275315344817,365.284494951006,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2005,25654277,0.0517439645638815,357.234719908026,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AG,Antigua and Barbuda,1996,70173,4.18052527325325,11685.82371555,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,1997,71704,4.29582728996988,12062.0075991371,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,1995,68670,4.00502402795981,11201.7401347059,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2000,76016,4.53454535887182,13184.9092406389,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2001,77212,4.51179868414236,12337.6049119586,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2002,78295,4.73040424037295,12291.5492619209,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2003,79300,5.08663303909205,12870.947706353,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2004,80336,5.24926558454491,13433.7813762756,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2005,81465,5.26654391456454,14097.096665718,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2006,82704,5.36500048365254,15653.3747162831,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2007,84026,5.5860804988932,16833.7045173582,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2008,85397,5.62522102649976,16558.4579093215,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2009,86746,5.8759251147027,14327.3108496645,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2010,88028,5.95697959740083,13049.2570545735,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,1998,73224,4.35689118321862,12370.4666561761,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,1999,74674,4.41961057396149,12580.0374687348,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2013,91516,5.72993793435028,12644.6890235017,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2014,92562,5.70480326699942,12976.3314609289,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2015,93566,5.83954641643332,13328.1466479391,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2011,89253,5.75196351943352,12618.0791316619,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2012,90409,5.80009733544227,12876.8892883551,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AL,Albania,1997,3148281,0.490365059535664,1676.12710708271,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1998,3128530,0.560271437384331,1835.64668130129,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1995,3187784,0.654537133005248,1703.28184475531,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1996,3168033,0.636625312930768,1869.86587314624,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2001,3060173,1.05330417594038,2453.62441365203,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2002,3051010,1.22954070946998,2572.72143217486,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1999,3108778,0.960164411868586,2085.42599716821,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2000,3089027,0.978174680894664,2244.62463172571,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2004,3026939,1.37621273504355,2887.37034243453,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2005,3011487,1.41249821101668,3062.67388299547,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2006,2992547,1.30257636722163,3263.90171311883,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2007,2970017,1.32233485532238,3485.32240934607,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2008,2947314,1.48431113888781,3775.58131429173,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2009,2927519,1.49560019934969,3928.45039149695,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2010,2913021,1.57857358391855,4094.3503344202,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2011,2905195,1.80371472482914,4209.87480089435,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2012,2900401,1.6979655571764,4276.60790388367,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2013,2895092,1.69727939561161,4327.37995998728,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2014,2889104,1.90006971019389,4413.29689127908,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2015,2880703,1.60264803417777,4524.3730858712,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2003,3039616,1.4126971959616,2725.17138911963,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
